FY	Character_Title	Fund_Title	Department_Title	SubObjTitle	budget	Dept	Fund	Char	Sub.obj
2014	Purchase of Services	General Operating Fund	Fleet Management	Rents	100081	25	10	2	285
2014	Purchase of Services	General Operating Fund	Fleet Management	Repair and Maintenance Charges	3498660	25	10	2	260
2014	Personal Services	General Operating Fund	Fleet Management	Salary Control	113445	25	10	1	100
2014	Purchase of Services	General Operating Fund	Fleet Management	Seminar and Training Sessions	9112	25	10	2	256
2014	Personal Services	General Operating Fund	Fleet Management	Shift	68992	25	10	1	181
2014	Personal Services	General Operating Fund	Fleet Management	Sick Pay(b Time)-civilian	30517	25	10	1	199
2014	Materials and Supplies	General Operating Fund	Fleet Management	Small Power Tools and Hand Tools	80600	25	10	3	322
2014	Purchase of Services	General Operating Fund	Fleet Management	Telephone	2723	25	10	2	209
2014	Personal Services	General Operating Fund	Fleet Management	Temporary/seasonal	31455	25	10	1	121
2014	Purchase of Services	General Operating Fund	Fleet Management	Transportation	6000	25	10	2	211
2014	Equipment	General Operating Fund	Fleet Management	Vehicles -- Motor and Motorless	8064994	25	10	4	428
2014	Materials and Supplies	Water Operating Fund	Fleet Management	#2 Diesel Fuel	1248706	25	20	3	340
2014	Materials and Supplies	Water Operating Fund	Fleet Management	Books and Other Publications	5073	25	20	3	304
2014	Materials and Supplies	Water Operating Fund	Fleet Management	Building and Construction	6904	25	20	3	305
2014	Materials and Supplies	Water Operating Fund	Fleet Management	Chemicals and Gases	5499	25	20	3	307
2014	Purchase of Services	Water Operating Fund	Fleet Management	Cleaning and Laundering	2919	25	20	2	201
2014	Equipment	Water Operating Fund	Fleet Management	Computer Equipment & Peripherals	17236	25	20	4	427
2014	Materials and Supplies	Water Operating Fund	Fleet Management	Dry Goods/notions/wearing Apparel	2766	25	20	3	308
2014	Personal Services	Water Operating Fund	Fleet Management	Dual/relief-full time-civilian	221922	25	20	1	102
2014	Materials and Supplies	Water Operating Fund	Fleet Management	Fire Fighting and Safety	2111	25	20	3	312
2014	Equipment	Water Operating Fund	Fleet Management	Furniture and Furnishings	20122	25	20	4	430
2014	Materials and Supplies	Water Operating Fund	Fleet Management	Gasoline	1120288	25	20	3	345
2014	Equipment	Water Operating Fund	Fleet Management	General Equipment and Machinery	29932	25	20	4	411
2014	Materials and Supplies	Water Operating Fund	Fleet Management	General Hardware and Minor Tools	6858	25	20	3	316
2014	Personal Services	Water Operating Fund	Fleet Management	Holiday "G"(2/3 Shift) Dual/relief	146	25	20	1	172
2014	Personal Services	Water Operating Fund	Fleet Management	Holiday "G"(2/3 Shifts)	4231	25	20	1	171
2014	Purchase of Services	Water Operating Fund	Fleet Management	Information Technology-prof Service	37918	25	20	2	251
2014	Purchase of Services	Water Operating Fund	Fleet Management	Insurance and official Bonds	4084	25	20	2	280
2014	Purchase of Services	Water Operating Fund	Fleet Management	Janitorial Services	41599	25	20	2	202
2014	Materials and Supplies	Water Operating Fund	Fleet Management	Janitorial, Laundry and Household	62	25	20	3	318
2014	Purchase of Services	Water Operating Fund	Fleet Management	Licenses Permits Inspection Charges	3340	25	20	2	215
2014	Materials and Supplies	Water Operating Fund	Fleet Management	Lubricants	84630	25	20	3	335
2014	Materials and Supplies	Water Operating Fund	Fleet Management	Motor Vehicle Parts and Accessories	1664704	25	20	3	328
2014	Personal Services	Water Operating Fund	Fleet Management	Overtime-civilian	420736	25	20	1	161
2014	Personal Services	Water Operating Fund	Fleet Management	Overtime/shift-dual/relief	46631	25	20	1	162
2014	Personal Services	Water Operating Fund	Fleet Management	Perm Full Time-civilian	1734059	25	20	1	101
2014	Personal Services	Water Operating Fund	Fleet Management	Plus/minus Gross Adj	33596	25	20	1	109
2014	Purchase of Services	Water Operating Fund	Fleet Management	Professional Consult/spec Services	16647	25	20	2	250
2014	Purchase of Services	Water Operating Fund	Fleet Management	Rental of Parking Spaces	118588	25	20	2	286
2014	Purchase of Services	Water Operating Fund	Fleet Management	Rents	5868	25	20	2	285
2014	Purchase of Services	Water Operating Fund	Fleet Management	Repair and Maintenance Charges	1207171	25	20	2	260
2014	Personal Services	Water Operating Fund	Fleet Management	Salary Control	22991	25	20	1	100
2014	Personal Services	Water Operating Fund	Fleet Management	Shift	13426	25	20	1	181
2014	Personal Services	Water Operating Fund	Fleet Management	Sick Pay(b Time)-civilian	239	25	20	1	199
2014	Materials and Supplies	Water Operating Fund	Fleet Management	Small Power Tools and Hand Tools	10935	25	20	3	322
2014	Purchase of Services	Water Operating Fund	Fleet Management	Telephone	653	25	20	2	209
2014	Personal Services	Water Operating Fund	Fleet Management	Temporary/seasonal	23307	25	20	1	121
2014	Materials and Supplies	Airport Operating Fund	Fleet Management	#2 Diesel Fuel	436265	25	90	3	340
2014	Materials and Supplies	Airport Operating Fund	Fleet Management	Building and Construction	1303	25	90	3	305
2014	Materials and Supplies	Airport Operating Fund	Fleet Management	Chemicals and Gases	1879	25	90	3	307
2014	Purchase of Services	Airport Operating Fund	Fleet Management	Cleaning and Laundering	4722	25	90	2	201
2014	Equipment	Airport Operating Fund	Fleet Management	Computer Equipment & Peripherals	5292	25	90	4	427
2014	Materials and Supplies	Airport Operating Fund	Fleet Management	Dry Goods/notions/wearing Apparel	871	25	90	3	308
2014	Personal Services	Airport Operating Fund	Fleet Management	Dual/relief-full time-civilian	56034	25	90	1	102
2014	Equipment	Airport Operating Fund	Fleet Management	Furniture and Furnishings	2522	25	90	4	430
2014	Materials and Supplies	Airport Operating Fund	Fleet Management	Gasoline	340922	25	90	3	345
2014	Equipment	Airport Operating Fund	Fleet Management	General Equipment and Machinery	27253	25	90	4	411
2014	Materials and Supplies	Airport Operating Fund	Fleet Management	General Hardware and Minor Tools	1222	25	90	3	316
2014	Personal Services	Airport Operating Fund	Fleet Management	Holiday "G"(2/3 Shifts)	12103	25	90	1	171
2014	Materials and Supplies	Airport Operating Fund	Fleet Management	Hospital and Laboratory	150	25	90	3	317
2014	Purchase of Services	Airport Operating Fund	Fleet Management	Information Technology-prof Service	13574	25	90	2	251
2014	Purchase of Services	Airport Operating Fund	Fleet Management	Insurance and official Bonds	660	25	90	2	280
2014	Purchase of Services	Airport Operating Fund	Fleet Management	Janitorial Services	2965	25	90	2	202
2014	Purchase of Services	Airport Operating Fund	Fleet Management	Licenses Permits Inspection Charges	2164	25	90	2	215
2014	Materials and Supplies	Airport Operating Fund	Fleet Management	Lubricants	12534	25	90	3	335
2014	Materials and Supplies	Airport Operating Fund	Fleet Management	Motor Vehicle Parts and Accessories	607859	25	90	3	328
2014	Equipment	Airport Operating Fund	Fleet Management	Office Equipment	613	25	90	4	420
2014	Materials and Supplies	Airport Operating Fund	Fleet Management	Office Materials and Supplies	21	25	90	3	320
2014	Personal Services	Airport Operating Fund	Fleet Management	Overtime-civilian	332621	25	90	1	161
2014	Personal Services	Airport Operating Fund	Fleet Management	Overtime/shift-dual/relief	3495	25	90	1	162
2014	Personal Services	Airport Operating Fund	Fleet Management	Perm Full Time-civilian	811608	25	90	1	101
2014	Personal Services	Airport Operating Fund	Fleet Management	Plus/minus Gross Adj	3501	25	90	1	109
2014	Purchase of Services	Airport Operating Fund	Fleet Management	Professional Consult/spec Services	194	25	90	2	250
2014	Purchase of Services	Airport Operating Fund	Fleet Management	Rental of Parking Spaces	2790	25	90	2	286
2014	Purchase of Services	Airport Operating Fund	Fleet Management	Rents	4359	25	90	2	285
2014	Purchase of Services	Airport Operating Fund	Fleet Management	Repair and Maintenance Charges	518039	25	90	2	260
2014	Personal Services	Airport Operating Fund	Fleet Management	Salary Control	200	25	90	1	100
2014	Purchase of Services	Airport Operating Fund	Fleet Management	Seminar and Training Sessions	80	25	90	2	256
2014	Personal Services	Airport Operating Fund	Fleet Management	Shift	7053	25	90	1	181
2014	Personal Services	Airport Operating Fund	Fleet Management	Sick Pay(b Time)-civilian	958	25	90	1	199
2014	Materials and Supplies	Airport Operating Fund	Fleet Management	Small Power Tools and Hand Tools	13892	25	90	3	322
2014	Purchase of Services	Airport Operating Fund	Fleet Management	Telephone	523	25	90	2	209
2014	Equipment	Airport Operating Fund	Fleet Management	Vehicles -- Motor and Motorless	212123	25	90	4	428
2014	Purchase of Services	General Operating Fund	Licenses & Inspections	Advertising/Promotional Activities	12385	26	10	2	240
2014	Equipment	General Operating Fund	Licenses & Inspections	Agricultural and Botanical	1556	26	10	4	401
2014	Contributions, Indemnities, Refunds, Taxes	General Operating Fund	Licenses & Inspections	Auto - Motor Vehicle	12500	26	10	5	561
2014	Contributions, Indemnities, Refunds, Taxes	General Operating Fund	Licenses & Inspections	Auto-motor Vehicle/non-punitive Dam	19188	26	10	5	0571N
2014	Materials and Supplies	General Operating Fund	Licenses & Inspections	Bakeshop, Dining Room and Kitchen	182	26	10	3	303
2014	Personal Services	General Operating Fund	Licenses & Inspections	Board	1500	26	10	1	131
2014	Materials and Supplies	General Operating Fund	Licenses & Inspections	Books and Other Publications	16881	26	10	3	304
2014	Materials and Supplies	General Operating Fund	Licenses & Inspections	Building and Construction	50875	26	10	3	305
2014	Purchase of Services	General Operating Fund	Licenses & Inspections	Cleaning and Laundering	225	26	10	2	201
2014	Equipment	General Operating Fund	Licenses & Inspections	Computer Equipment & Peripherals	13942	26	10	4	427
2014	Equipment	General Operating Fund	Licenses & Inspections	Construction, Dredging, Conveying	265	26	10	4	405
2014	Purchase of Services	General Operating Fund	Licenses & Inspections	Court Reporters	17785	26	10	2	258
2014	Contributions, Indemnities, Refunds, Taxes	General Operating Fund	Licenses & Inspections	Demolition Damages	132500	26	10	5	572
2014	Contributions, Indemnities, Refunds, Taxes	General Operating Fund	Licenses & Inspections	Demolition Damages-non-punitive	127500	26	10	5	0572N
2014	Purchase of Services	General Operating Fund	Licenses & Inspections	Demolition of Buildings	8906444	26	10	2	262
2014	Materials and Supplies	General Operating Fund	Licenses & Inspections	Dry Goods/notions/wearing Apparel	22612	26	10	3	308
2014	Personal Services	General Operating Fund	Licenses & Inspections	Dual/relief-full time-civilian	269488	26	10	1	102
2014	Purchase of Services	General Operating Fund	Licenses & Inspections	Dues	4970	26	10	2	255
2014	Materials and Supplies	General Operating Fund	Licenses & Inspections	Electrical and Communication	2404	26	10	3	310
2014	Equipment	General Operating Fund	Licenses & Inspections	Electrical Lighting Communication	460	26	10	4	410
2014	Contributions, Indemnities, Refunds, Taxes	General Operating Fund	Licenses & Inspections	Employee Claims-nonworkcomp/non-pun	254	26	10	5	0584N
2014	Materials and Supplies	General Operating Fund	Licenses & Inspections	Fire Fighting and Safety	4771	26	10	3	312
2014	Equipment	General Operating Fund	Licenses & Inspections	Furniture and Furnishings	4644	26	10	4	430
2014	Materials and Supplies	General Operating Fund	Licenses & Inspections	General Hardware and Minor Tools	3108	26	10	3	316
2014	Purchase of Services	General Operating Fund	Licenses & Inspections	Ground and Building Rental	3500	26	10	2	284
2014	Personal Services	General Operating Fund	Licenses & Inspections	Holiday "G"(2/3 Shifts)	7801	26	10	1	171
2014	Materials and Supplies	General Operating Fund	Licenses & Inspections	Hospital and Laboratory	264	26	10	3	317
2014	Purchase of Services	General Operating Fund	Licenses & Inspections	Information Technology-prof Service	6438	26	10	2	251
2014	Purchase of Services	General Operating Fund	Licenses & Inspections	Janitorial Services	28250	26	10	2	202
2014	Materials and Supplies	General Operating Fund	Licenses & Inspections	Janitorial, Laundry and Household	7211	26	10	3	318
2014	Purchase of Services	General Operating Fund	Licenses & Inspections	Maint/support-computr Hardware/soft	8743	26	10	2	266
2014	Equipment	General Operating Fund	Licenses & Inspections	Office Equipment	3965	26	10	4	420
2014	Materials and Supplies	General Operating Fund	Licenses & Inspections	Office Materials and Supplies	83394	26	10	3	320
2014	Personal Services	General Operating Fund	Licenses & Inspections	Overtime-civilian	864430	26	10	1	161
2014	Personal Services	General Operating Fund	Licenses & Inspections	Overtime/shift-dual/relief	35918	26	10	1	162
2014	Personal Services	General Operating Fund	Licenses & Inspections	Perm Full Time-civilian	13095583	26	10	1	101
2014	Personal Services	General Operating Fund	Licenses & Inspections	Plus/minus Gross Adj	381844	26	10	1	109
2014	Purchase of Services	General Operating Fund	Licenses & Inspections	Postage	166	26	10	2	210
2014	Equipment	General Operating Fund	Licenses & Inspections	Precision, Photographic and Artists	5310	26	10	4	424
2014	Materials and Supplies	General Operating Fund	Licenses & Inspections	Precision, Photographic and Artists	42265	26	10	3	324
2014	Materials and Supplies	General Operating Fund	Licenses & Inspections	Printing	33269	26	10	3	325
2014	Purchase of Services	General Operating Fund	Licenses & Inspections	Professional Consult/spec Services	548207	26	10	2	250
2014	Purchase of Services	General Operating Fund	Licenses & Inspections	Purchase Services-imprest Advances	694	26	10	2	295
2014	Materials and Supplies	General Operating Fund	Licenses & Inspections	Recreational and Educational	1634	26	10	3	326
2014	Purchase of Services	General Operating Fund	Licenses & Inspections	Rental of Parking Spaces	46689	26	10	2	286
2014	Purchase of Services	General Operating Fund	Licenses & Inspections	Rents	18752	26	10	2	285
2014	Purchase of Services	General Operating Fund	Licenses & Inspections	Repair and Maintenance Charges	266047	26	10	2	260
2014	Personal Services	General Operating Fund	Licenses & Inspections	Salary Control	249723	26	10	1	100
2014	Purchase of Services	General Operating Fund	Licenses & Inspections	Seminar and Training Sessions	79042	26	10	2	256
2014	Personal Services	General Operating Fund	Licenses & Inspections	Shift	2863	26	10	1	181
2014	Personal Services	General Operating Fund	Licenses & Inspections	Sick Pay(b Time)-civilian	37170	26	10	1	199
2014	Materials and Supplies	General Operating Fund	Licenses & Inspections	Small Power Tools and Hand Tools	4558	26	10	3	322
2014	Purchase of Services	General Operating Fund	Licenses & Inspections	Telephone	429	26	10	2	209
2014	Personal Services	General Operating Fund	Licenses & Inspections	Temporary/seasonal	56616	26	10	1	121
2014	Purchase of Services	General Operating Fund	Licenses & Inspections	Transportation	151194	26	10	2	211
2014	Purchase of Services	Grants Revenue Fund	Licenses & Inspections	Demolition of Buildings	162807	26	80	2	262
2014	Personal Services	Community Development Fund	Licenses & Inspections	Holiday "G"(2/3 Shifts)	2997	26	100	1	171
2014	Personal Services	Community Development Fund	Licenses & Inspections	Overtime-civilian	125800	26	100	1	161
2014	Personal Services	Community Development Fund	Licenses & Inspections	Perm Full Time-civilian	351457	26	100	1	101
2014	Personal Services	Community Development Fund	Licenses & Inspections	Plus/minus Gross Adj	7833	26	100	1	109
2014	Personal Services	Community Development Fund	Licenses & Inspections	Shift	766	26	100	1	181
2014	Personal Services	Community Development Fund	Licenses & Inspections	Sick Pay(b Time)-civilian	1451	26	100	1	199
2014	Personal Services	General Operating Fund	Board of Licenses & Inspections	Board	32710	27	10	1	131
2014	Purchase of Services	General Operating Fund	Board of Licenses & Inspections	Court Reporters	8365	27	10	2	258
2014	Personal Services	General Operating Fund	Board of Licenses & Inspections	Overtime-civilian	377	27	10	1	161
2014	Personal Services	General Operating Fund	Board of Licenses & Inspections	Perm Full Time-civilian	91964	27	10	1	101
2014	Personal Services	General Operating Fund	Board of Licenses & Inspections	Plus/minus Gross Adj	170	27	10	1	109
2014	Personal Services	General Operating Fund	Board of Licenses & Inspections	Shift	7	27	10	1	181
2014	Materials and Supplies	Water Operating Fund	Water	#2 Diesel Fuel	210900	28	20	3	340
2014	Purchase of Services	Water Operating Fund	Water	Abatement of Other Nuisances	8563937	28	20	2	264
2014	Purchase of Services	Water Operating Fund	Water	Accounting and Auditing Services	22260	28	20	2	252
2014	Purchase of Services	Water Operating Fund	Water	Advertising/Promotional Activities	68578	28	20	2	240
2014	Materials and Supplies	Water Operating Fund	Water	Agricultural and Botanical	3789	28	20	3	301
2014	Equipment	Water Operating Fund	Water	Agricultural and Botanical	37992	28	20	4	401
2014	Materials and Supplies	Water Operating Fund	Water	Animal, Livestock and Marine Life	144	28	20	3	302
2014	Purchase of Services	Water Operating Fund	Water	Arbitration Fees	283387	28	20	2	259
2014	Purchase of Services	Water Operating Fund	Water	Architectural & Engineering Srvcs	2036726	28	20	2	257
2014	Contributions, Indemnities, Refunds, Taxes	Water Operating Fund	Water	Auto - Motor Vehicle	224418	28	20	5	561
2014	Contributions, Indemnities, Refunds, Taxes	Water Operating Fund	Water	Auto-motor Vehicle/non-punitive Dam	58003	28	20	5	0571N
2014	Materials and Supplies	Water Operating Fund	Water	Bakeshop, Dining Room and Kitchen	816	28	20	3	303
2014	Equipment	Water Operating Fund	Water	Bakeshop, Dining Room and Kitchen	14317	28	20	4	403
2014	Materials and Supplies	Water Operating Fund	Water	Books and Other Publications	43828	28	20	3	304
2014	Materials and Supplies	Water Operating Fund	Water	Building and Construction	1928149	28	20	3	305
2014	Materials and Supplies	Water Operating Fund	Water	Chemicals and Gases	24503043	28	20	3	307
2014	Contributions, Indemnities, Refunds, Taxes	Water Operating Fund	Water	Civil Rights	63600	28	20	5	581
2014	Purchase of Services	Water Operating Fund	Water	Cleaning and Laundering	29375	28	20	2	201
2014	Contributions, Indemnities, Refunds, Taxes	Water Operating Fund	Water	Clogged Sewers-non-punitive Damages	62938	28	20	5	0575N
2014	Purchase of Services	Water Operating Fund	Water	Commercial off-shelf Comp Software	54228	28	20	2	216
2014	Equipment	Water Operating Fund	Water	Computer Equipment & Peripherals	1283	28	20	4	427
2014	Equipment	Water Operating Fund	Water	Construction, Dredging, Conveying	904	28	20	4	405
2014	Materials and Supplies	Water Operating Fund	Water	Cordage and Fibers	1331	28	20	3	309
2014	Materials and Supplies	Water Operating Fund	Water	Dry Goods/notions/wearing Apparel	439316	28	20	3	308
2014	Personal Services	Water Operating Fund	Water	Dual/relief-full time-civilian	1840790	28	20	1	102
2014	Purchase of Services	Water Operating Fund	Water	Dues	566545	28	20	2	255
2014	Purchase of Services	Water Operating Fund	Water	Electric Current-structures/streets	21440579	28	20	2	220
2014	Materials and Supplies	Water Operating Fund	Water	Electrical and Communication	1548089	28	20	3	310
2014	Equipment	Water Operating Fund	Water	Electrical Lighting Communication	451477	28	20	4	410
2014	Purchase of Services	Water Operating Fund	Water	Employee Relocation Expenses	5464	28	20	2	213
2014	Equipment	Water Operating Fund	Water	Fire Fighting and Emergency	16695	28	20	4	412
2014	Materials and Supplies	Water Operating Fund	Water	Fire Fighting and Safety	997987	28	20	3	312
2014	Materials and Supplies	Water Operating Fund	Water	Food	192	28	20	3	313
2014	Materials and Supplies	Water Operating Fund	Water	Fuel -- Heating and Lighting	376260	28	20	3	314
2014	Equipment	Water Operating Fund	Water	Furniture and Furnishings	758704	28	20	4	430
2014	Purchase of Services	Water Operating Fund	Water	Gas Services	3561030	28	20	2	221
2014	Materials and Supplies	Water Operating Fund	Water	Gasoline	167800	28	20	3	345
2014	Materials and Supplies	Water Operating Fund	Water	General Equipment and Machinery	2869806	28	20	3	311
2014	Equipment	Water Operating Fund	Water	General Equipment and Machinery	374182	28	20	4	411
2014	Materials and Supplies	Water Operating Fund	Water	General Hardware and Minor Tools	363009	28	20	3	316
2014	Contributions, Indemnities, Refunds, Taxes	Water Operating Fund	Water	Highway Falls	1431037	28	20	5	563
2014	Personal Services	Water Operating Fund	Water	Holiday "G"(2/3 Shift) Dual/relief	553	28	20	1	172
2014	Personal Services	Water Operating Fund	Water	Holiday "G"(2/3 Shifts)	403111	28	20	1	171
2014	Materials and Supplies	Water Operating Fund	Water	Hospital and Laboratory	572237	28	20	3	317
2014	Equipment	Water Operating Fund	Water	Hospital and Laboratory	547998	28	20	4	417
2014	Purchase of Services	Water Operating Fund	Water	Information Technology-prof Service	200450	28	20	2	251
2014	Purchase of Services	Water Operating Fund	Water	Insurance and official Bonds	100870	28	20	2	280
2014	Equipment	Water Operating Fund	Water	Janitorial and Laundry	22514	28	20	4	418
2014	Purchase of Services	Water Operating Fund	Water	Janitorial Services	83664	28	20	2	202
2014	Materials and Supplies	Water Operating Fund	Water	Janitorial, Laundry and Household	271390	28	20	3	318
2014	Purchase of Services	Water Operating Fund	Water	Lease Payments-phila Municipal Auth	26867752	28	20	2	281
2014	Purchase of Services	Water Operating Fund	Water	Legal Services	94857	28	20	2	253
2014	Purchase of Services	Water Operating Fund	Water	Licenses Permits Inspection Charges	113074	28	20	2	215
2014	Materials and Supplies	Water Operating Fund	Water	Liquid Propane Gas (LPG)	38079	28	20	3	342
2014	Materials and Supplies	Water Operating Fund	Water	Lubricants	38192	28	20	3	335
2014	Purchase of Services	Water Operating Fund	Water	Maint/support-computr Hardware/soft	611101	28	20	2	266
2014	Materials and Supplies	Water Operating Fund	Water	Materials & Supplies Control	4808	28	20	3	300
2014	Purchase of Services	Water Operating Fund	Water	Meals-non-travel & officl Entertain	10736	28	20	2	230
2014	Materials and Supplies	Water Operating Fund	Water	Motor Vehicle Parts and Accessories	43661	28	20	3	328
2014	Materials and Supplies	Water Operating Fund	Water	Nautical and Aeronautical	6112	28	20	3	319
2014	Equipment	Water Operating Fund	Water	Office Equipment	16766	28	20	4	420
2014	Materials and Supplies	Water Operating Fund	Water	Office Materials and Supplies	204307	28	20	3	320
2014	Equipment	Water Operating Fund	Water	Other Equipment (Noc)	4957	28	20	4	499
2014	Materials and Supplies	Water Operating Fund	Water	Other Materials and Supplies (Noc)	121	28	20	3	399
2014	Contributions, Indemnities, Refunds, Taxes	Water Operating Fund	Water	Other Non-automotive	573313	28	20	5	569
2014	Contributions, Indemnities, Refunds, Taxes	Water Operating Fund	Water	Other Non-automotive	60000	28	20	5	579
2014	Contributions, Indemnities, Refunds, Taxes	Water Operating Fund	Water	Other Non-automotive/non-punitive	77655	28	20	5	0579N
2014	Contributions, Indemnities, Refunds, Taxes	Water Operating Fund	Water	Other Water Cases	14024	28	20	5	576
2014	Contributions, Indemnities, Refunds, Taxes	Water Operating Fund	Water	Other Water Cases-non-punitive Dam	22562	28	20	5	0576N
2014	Personal Services	Water Operating Fund	Water	Overtime-civilian	13288142	28	20	1	161
2014	Personal Services	Water Operating Fund	Water	Overtime/shift-dual/relief	25101	28	20	1	162
2014	Personal Services	Water Operating Fund	Water	Overtime/shift-uniform	17450	28	20	1	165
2014	Materials and Supplies	Water Operating Fund	Water	Parking Meter and Water Meter	470019	28	20	3	321
2014	Payments to Other Funds	Water Operating Fund	Water	Payments To Capital Projects Fund	20193500	28	20	8	804
2014	Payments to Other Funds	Water Operating Fund	Water	Payments To General Fund	7714419	28	20	8	801
2014	Payments to Other Funds	Water Operating Fund	Water	Payments To Water Rate Stab	22924772	28	20	8	813
2014	Payments to Other Funds	Water Operating Fund	Water	Payments To Water Residual Fund	24828548	28	20	8	811
2014	Personal Services	Water Operating Fund	Water	Perm Full Time-civilian	71183382	28	20	1	101
2014	Contributions, Indemnities, Refunds, Taxes	Water Operating Fund	Water	Personal Injury	5000	28	20	5	560
2014	Materials and Supplies	Water Operating Fund	Water	Plumbing/air Conditioning/space Htg	3718940	28	20	3	323
2014	Equipment	Water Operating Fund	Water	Plumbing/air Conditioning/space Htg	60366	28	20	4	423
2014	Personal Services	Water Operating Fund	Water	Plus/minus Gross Adj	798365	28	20	1	109
2014	Purchase of Services	Water Operating Fund	Water	Postage	160605	28	20	2	210
2014	Equipment	Water Operating Fund	Water	Precision, Photographic and Artists	111324	28	20	4	424
2014	Materials and Supplies	Water Operating Fund	Water	Precision, Photographic and Artists	1603063	28	20	3	324
2014	Materials and Supplies	Water Operating Fund	Water	Printing	283932	28	20	3	325
2014	Purchase of Services	Water Operating Fund	Water	Professional Consult/spec Services	36432179	28	20	2	250
2014	Purchase of Services	Water Operating Fund	Water	Purchase of Services Control	45	28	20	2	200
2014	Purchase of Services	Water Operating Fund	Water	Purchase Services-imprest Advances	28200	28	20	2	295
2014	Materials and Supplies	Water Operating Fund	Water	Recreational and Educational	16638	28	20	3	326
2014	Equipment	Water Operating Fund	Water	Recreational and Educational	177	28	20	4	426
2014	Purchase of Services	Water Operating Fund	Water	Refuse/garbage/silt/sludge Removal	3061700	28	20	2	205
2014	Personal Services	Water Operating Fund	Water	Reg 32-rate 1	23	28	20	1	151
2014	Purchase of Services	Water Operating Fund	Water	Rent/Lease-Purchase Computer Equipment	6720	28	20	2	282
2014	Purchase of Services	Water Operating Fund	Water	Rents	961635	28	20	2	285
2014	Purchase of Services	Water Operating Fund	Water	Repair and Maintenance Charges	7186697	28	20	2	260
2014	Purchase of Services	Water Operating Fund	Water	Repaving Repairing & Resurf Streets	1302921	28	20	2	261
2014	Personal Services	Water Operating Fund	Water	Salary Control	485167	28	20	1	100
2014	Purchase of Services	Water Operating Fund	Water	Seminar and Training Sessions	214041	28	20	2	256
2014	Personal Services	Water Operating Fund	Water	Shift	199316	28	20	1	181
2014	Personal Services	Water Operating Fund	Water	Sick Pay(b Time)-civilian	205196	28	20	1	199
2014	Contributions, Indemnities, Refunds, Taxes	Water Operating Fund	Water	Sidewalk Falls	2025072	28	20	5	564
2014	Materials and Supplies	Water Operating Fund	Water	Small Power Tools and Hand Tools	393002	28	20	3	322
2014	Purchase of Services	Water Operating Fund	Water	Street Lighting	189	28	20	2	223
2014	Purchase of Services	Water Operating Fund	Water	Telephone	8928	28	20	2	209
2014	Personal Services	Water Operating Fund	Water	Temporary/seasonal	1203040	28	20	1	121
2014	Purchase of Services	Water Operating Fund	Water	Transportation	102729	28	20	2	211
2014	Contributions, Indemnities, Refunds, Taxes	Water Operating Fund	Water	Water Main Breaks	836449	28	20	5	574
2014	Contributions, Indemnities, Refunds, Taxes	Water Operating Fund	Water	Water Main Breaks-non-punitive Damg	582027	28	20	5	0574N
2014	Payments to Other Funds	Water Residual Fund	Water	Payments To General Fund	400364	28	690	8	801
2014	Payments to Other Funds	Water Residual Fund	Water	Payments To Other Funds	453596	28	690	8	807
2014	Personal Services	General Operating Fund	Board of Building Standards	Board	12840	29	10	1	131
2014	Personal Services	General Operating Fund	Board of Building Standards	Overtime-civilian	348	29	10	1	161
2014	Personal Services	General Operating Fund	Board of Building Standards	Perm Full Time-civilian	49257	29	10	1	101
2014	Personal Services	General Operating Fund	Board of Building Standards	Plus/minus Gross Adj	-15	29	10	1	109
2014	Personal Services	General Operating Fund	Board of Building Standards	Shift	1	29	10	1	181
2014	Personal Services	General Operating Fund	Zoning Board	Board	109800	30	10	1	131
2014	Purchase of Services	General Operating Fund	Zoning Board	Court Reporters	34540	30	10	2	258
2014	Personal Services	General Operating Fund	Zoning Board	Overtime-civilian	952	30	10	1	161
2014	Personal Services	General Operating Fund	Zoning Board	Perm Full Time-civilian	211446	30	10	1	101
2014	Personal Services	General Operating Fund	Zoning Board	Plus/minus Gross Adj	354	30	10	1	109
2014	Materials and Supplies	General Operating Fund	Records	Books and Other Publications	333	31	10	3	304
2014	Purchase of Services	General Operating Fund	Records	Commercial off-shelf Comp Software	20684	31	10	2	216
2014	Equipment	General Operating Fund	Records	Computer Equipment & Peripherals	63724	31	10	4	427
2014	Purchase of Services	General Operating Fund	Records	Dues	5224	31	10	2	255
2014	Materials and Supplies	General Operating Fund	Records	Electrical and Communication	1967	31	10	3	310
2014	Materials and Supplies	General Operating Fund	Records	Food	77	31	10	3	313
2014	Equipment	General Operating Fund	Records	Furniture and Furnishings	365	31	10	4	430
2014	Materials and Supplies	General Operating Fund	Records	General Hardware and Minor Tools	28	31	10	3	316
2014	Personal Services	General Operating Fund	Records	Holiday "G"(2/3 Shifts)	197	31	10	1	171
2014	Purchase of Services	General Operating Fund	Records	Information Technology-prof Service	475000	31	10	2	251
2014	Materials and Supplies	General Operating Fund	Records	Janitorial, Laundry and Household	419	31	10	3	318
2014	Purchase of Services	General Operating Fund	Records	Maint/support-computr Hardware/soft	212228	31	10	2	266
2014	Contributions, Indemnities, Refunds, Taxes	General Operating Fund	Records	Meritorious Awards	1456	31	10	5	504
2014	Equipment	General Operating Fund	Records	Office Equipment	1852	31	10	4	420
2014	Materials and Supplies	General Operating Fund	Records	Office Materials and Supplies	40249	31	10	3	320
