FY,Character_Title,Fund_Title,Department_Title,SubObjTitle,budget
2014,Materials and Supplies,General Operating Fund,Health,Chemicals and Gases,502658
2014,Purchase of Services,General Operating Fund,Health,Cleaning and Laundering,826
2014,Purchase of Services,General Operating Fund,Health,Commercial off-shelf Comp Software,20604
2014,Equipment,General Operating Fund,Health,Computer Equipment & Peripherals,150453
2014,Equipment,General Operating Fund,Health,"Construction, Dredging, Conveying",23399
2014,Materials and Supplies,General Operating Fund,Health,Dry Goods/notions/wearing Apparel,26712
2014,Personal Services,General Operating Fund,Health,Dual/relief-full time-civilian,228794
2014,Purchase of Services,General Operating Fund,Health,Dues,56652
2014,Materials and Supplies,General Operating Fund,Health,Electrical and Communication,192216
2014,Equipment,General Operating Fund,Health,Electrical Lighting Communication,113267
2014,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Health,Employee Claims -- Not Workman Comp,10097
2014,Equipment,General Operating Fund,Health,Equipment Control,6198
2014,Materials and Supplies,General Operating Fund,Health,Fire Fighting and Safety,4084
2014,Materials and Supplies,General Operating Fund,Health,Food,600
2014,Materials and Supplies,General Operating Fund,Health,Fuel -- Heating and Lighting,74000
2014,Equipment,General Operating Fund,Health,Furniture and Furnishings,102895
2014,Materials and Supplies,General Operating Fund,Health,Gasoline,27
2014,Materials and Supplies,General Operating Fund,Health,General Equipment and Machinery,2068
2014,Equipment,General Operating Fund,Health,General Equipment and Machinery,3182
2014,Materials and Supplies,General Operating Fund,Health,General Hardware and Minor Tools,60523
2014,Purchase of Services,General Operating Fund,Health,Ground and Building Rental,30359
2014,Personal Services,General Operating Fund,Health,"Holiday ""G""(2/3 Shifts)",37047
2014,Materials and Supplies,General Operating Fund,Health,Hospital and Laboratory,2611159
2014,Equipment,General Operating Fund,Health,Hospital and Laboratory,384113
2014,Purchase of Services,General Operating Fund,Health,Information Technology-prof Service,625234
2014,Equipment,General Operating Fund,Health,Janitorial and Laundry,9101
2014,Purchase of Services,General Operating Fund,Health,Janitorial Services,17531
2014,Materials and Supplies,General Operating Fund,Health,"Janitorial, Laundry and Household",187141
2014,Purchase of Services,General Operating Fund,Health,Licenses Permits Inspection Charges,29186
2014,Materials and Supplies,General Operating Fund,Health,Liquid Propane Gas (LPG),290
2014,Purchase of Services,General Operating Fund,Health,Maint/support-computr Hardware/soft,17590
2014,Materials and Supplies,General Operating Fund,Health,Materials & Supplies Control,84445
2014,Purchase of Services,General Operating Fund,Health,Meals-non-travel & officl Entertain,22842
2014,Equipment,General Operating Fund,Health,Office Equipment,59860
2014,Materials and Supplies,General Operating Fund,Health,Office Materials and Supplies,441584
2014,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Health,Other Non-automotive,12500
2014,Personal Services,General Operating Fund,Health,Overtime-civilian,2718467
2014,Personal Services,General Operating Fund,Health,Overtime/shift-dual/relief,5218
2014,Payments to Other Funds,General Operating Fund,Health,Payments To Capital Projects Fund,500000
2014,Personal Services,General Operating Fund,Health,Perm Full Time-civilian,33281366
2014,Personal Services,General Operating Fund,Health,Perm Part Time,5718134
2014,Materials and Supplies,General Operating Fund,Health,Plumbing/air Conditioning/space Htg,39720
2014,Equipment,General Operating Fund,Health,Plumbing/air Conditioning/space Htg,18352
2014,Personal Services,General Operating Fund,Health,Plus/minus Gross Adj,907546
2014,Purchase of Services,General Operating Fund,Health,Postage,11173
2014,Materials and Supplies,General Operating Fund,Health,"Precision, Photographic and Artists",58692
2014,Materials and Supplies,General Operating Fund,Health,Printing,59190
2014,Purchase of Services,General Operating Fund,Health,Professional Consult/spec Services,58493346
2014,Purchase of Services,General Operating Fund,Health,Purchase Services-imprest Advances,4810
2014,Materials and Supplies,General Operating Fund,Health,Recreational and Educational,6309
2014,Purchase of Services,General Operating Fund,Health,Refuse/garbage/silt/sludge Removal,161853
2014,Purchase of Services,General Operating Fund,Health,Rents,41538
2014,Purchase of Services,General Operating Fund,Health,Repair and Maintenance Charges,818757
2014,Personal Services,General Operating Fund,Health,Salary Control,356390
2014,Purchase of Services,General Operating Fund,Health,Seminar and Training Sessions,14146
2014,Personal Services,General Operating Fund,Health,Shift,32549
2014,Personal Services,General Operating Fund,Health,Sick Pay(b Time)-civilian,8998
2014,Materials and Supplies,General Operating Fund,Health,Small Power Tools and Hand Tools,7781
2014,Purchase of Services,General Operating Fund,Health,Telephone,59923
2014,Personal Services,General Operating Fund,Health,Temporary/seasonal,143776
2014,Purchase of Services,General Operating Fund,Health,Transportation,56976
2014,Equipment,General Operating Fund,Health,Vehicles -- Motor and Motorless,3294
2014,Purchase of Services,Grants Revenue Fund,Health,Accounting and Auditing Services,14460
2014,Materials and Supplies,Grants Revenue Fund,Health,"Bakeshop, Dining Room and Kitchen",111
2014,Materials and Supplies,Grants Revenue Fund,Health,Books and Other Publications,8573
2014,Materials and Supplies,Grants Revenue Fund,Health,Building and Construction,551
2014,Materials and Supplies,Grants Revenue Fund,Health,Chemicals and Gases,14501
2014,Purchase of Services,Grants Revenue Fund,Health,Commercial off-shelf Comp Software,38916
2014,Equipment,Grants Revenue Fund,Health,Computer Equipment & Peripherals,186915
2014,Materials and Supplies,Grants Revenue Fund,Health,Cordage and Fibers,6
2014,Purchase of Services,Grants Revenue Fund,Health,Court Reporters,300
2014,Materials and Supplies,Grants Revenue Fund,Health,Dry Goods/notions/wearing Apparel,9838
2014,Purchase of Services,Grants Revenue Fund,Health,Dues,673
2014,Materials and Supplies,Grants Revenue Fund,Health,Electrical and Communication,4976
2014,Equipment,Grants Revenue Fund,Health,Electrical Lighting Communication,1011
2014,Equipment,Grants Revenue Fund,Health,Equipment Control,46767
2014,Personal Services,Grants Revenue Fund,Health,FICA Taxes,335605
2014,Materials and Supplies,Grants Revenue Fund,Health,Fire Fighting and Safety,325
2014,Materials and Supplies,Grants Revenue Fund,Health,Food,1088
2014,Equipment,Grants Revenue Fund,Health,Furniture and Furnishings,36697
2014,Materials and Supplies,Grants Revenue Fund,Health,General Equipment and Machinery,548
2014,Materials and Supplies,Grants Revenue Fund,Health,General Hardware and Minor Tools,509
2014,Personal Services,Grants Revenue Fund,Health,Group Legal Insurance,13078
2014,Personal Services,Grants Revenue Fund,Health,Group Life Insurance,7008
2014,Personal Services,Grants Revenue Fund,Health,"Holiday ""G""(2/3 Shifts)",6048
2014,Materials and Supplies,Grants Revenue Fund,Health,Hospital and Laboratory,612953
2014,Equipment,Grants Revenue Fund,Health,Hospital and Laboratory,905537
2014,Purchase of Services,Grants Revenue Fund,Health,Information Technology-prof Service,1395837
2014,Equipment,Grants Revenue Fund,Health,Janitorial and Laundry,995
2014,Materials and Supplies,Grants Revenue Fund,Health,"Janitorial, Laundry and Household",115575
2014,Purchase of Services,Grants Revenue Fund,Health,Licenses Permits Inspection Charges,1146
2014,Materials and Supplies,Grants Revenue Fund,Health,Lubricants,196
2014,Purchase of Services,Grants Revenue Fund,Health,Maint/support-computr Hardware/soft,12903
2014,Materials and Supplies,Grants Revenue Fund,Health,Materials & Supplies Control,2500
2014,Purchase of Services,Grants Revenue Fund,Health,Meals-non-travel & officl Entertain,689
2014,Personal Services,Grants Revenue Fund,Health,Medical Health & Welfare Credit,1156957
2014,Personal Services,Grants Revenue Fund,Health,Medicare Tax,92652
2014,Materials and Supplies,Grants Revenue Fund,Health,Motor Vehicle Parts and Accessories,9
2014,Equipment,Grants Revenue Fund,Health,Office Equipment,13908
2014,Materials and Supplies,Grants Revenue Fund,Health,Office Materials and Supplies,52780
2014,Materials and Supplies,Grants Revenue Fund,Health,Other Materials and Supplies (Noc),1369
2014,Personal Services,Grants Revenue Fund,Health,Overtime-civilian,239533
2014,Payments to Other Funds,Grants Revenue Fund,Health,Payments To General Fund,128948
2014,Personal Services,Grants Revenue Fund,Health,Pension-actual,960331
2014,Personal Services,Grants Revenue Fund,Health,Pension-obligation Bond Payments,142827
2014,Personal Services,Grants Revenue Fund,Health,Perm Full Time-civilian,9157443
2014,Personal Services,Grants Revenue Fund,Health,Perm Part Time,119814
2014,Materials and Supplies,Grants Revenue Fund,Health,Plumbing/air Conditioning/space Htg,723
2014,Equipment,Grants Revenue Fund,Health,Plumbing/air Conditioning/space Htg,188
2014,Personal Services,Grants Revenue Fund,Health,Plus/minus Gross Adj,41500
2014,Purchase of Services,Grants Revenue Fund,Health,Postage,23181
2014,Equipment,Grants Revenue Fund,Health,"Precision, Photographic and Artists",37618
2014,Materials and Supplies,Grants Revenue Fund,Health,"Precision, Photographic and Artists",31777
2014,Materials and Supplies,Grants Revenue Fund,Health,Printing,42729
2014,Purchase of Services,Grants Revenue Fund,Health,Professional Consult/spec Services,52721284
2014,Purchase of Services,Grants Revenue Fund,Health,Purchase Services-imprest Advances,3651
2014,Materials and Supplies,Grants Revenue Fund,Health,Recreational and Educational,261
2014,Equipment,Grants Revenue Fund,Health,Recreational and Educational,443
2014,Purchase of Services,Grants Revenue Fund,Health,Refuse/garbage/silt/sludge Removal,12002
2014,Purchase of Services,Grants Revenue Fund,Health,Rents,7197
2014,Purchase of Services,Grants Revenue Fund,Health,Repair and Maintenance Charges,112585
2014,Personal Services,Grants Revenue Fund,Health,Salary Control,128236
2014,Purchase of Services,Grants Revenue Fund,Health,Seminar and Training Sessions,5882
2014,Personal Services,Grants Revenue Fund,Health,Shift,2479
2014,Personal Services,Grants Revenue Fund,Health,Sick Pay(b Time)-civilian,10424
2014,Materials and Supplies,Grants Revenue Fund,Health,Small Power Tools and Hand Tools,183
2014,Purchase of Services,Grants Revenue Fund,Health,Telephone,1938
2014,Personal Services,Grants Revenue Fund,Health,Temporary/seasonal,91977
2014,Purchase of Services,Grants Revenue Fund,Health,Transportation,55810
2014,Equipment,Grants Revenue Fund,Health,Vehicles -- Motor and Motorless,97068
2014,Personal Services,Grants Revenue Fund,Health,Worker's Comp-disability Comp,114559
2014,Purchase of Services,Acute Care Hospital Assessment Fund,Health,Commercial off-shelf Comp Software,34491
2014,Equipment,Acute Care Hospital Assessment Fund,Health,Computer Equipment & Peripherals,1116
2014,Materials and Supplies,Acute Care Hospital Assessment Fund,Health,Dry Goods/notions/wearing Apparel,300
2014,Materials and Supplies,Acute Care Hospital Assessment Fund,Health,Electrical and Communication,274
2014,Purchase of Services,Acute Care Hospital Assessment Fund,Health,Information Technology-prof Service,16083
2014,Purchase of Services,Acute Care Hospital Assessment Fund,Health,Maint/support-computr Hardware/soft,3546
2014,Purchase of Services,Acute Care Hospital Assessment Fund,Health,Meals-non-travel & officl Entertain,12493
2014,Materials and Supplies,Acute Care Hospital Assessment Fund,Health,Office Materials and Supplies,2918
2014,Personal Services,Acute Care Hospital Assessment Fund,Health,Overtime-civilian,20936
2014,Payments to Other Funds,Acute Care Hospital Assessment Fund,Health,Payments To Capital Projects Fund,1500000
2014,Personal Services,Acute Care Hospital Assessment Fund,Health,Perm Full Time-civilian,555061
2014,Personal Services,Acute Care Hospital Assessment Fund,Health,Perm Part Time,2585975
2014,Personal Services,Acute Care Hospital Assessment Fund,Health,Plus/minus Gross Adj,57586
2014,Materials and Supplies,Acute Care Hospital Assessment Fund,Health,Printing,140
2014,Purchase of Services,Acute Care Hospital Assessment Fund,Health,Professional Consult/spec Services,152237223
2014,Personal Services,Acute Care Hospital Assessment Fund,Health,Shift,254
2014,Purchase of Services,Acute Care Hospital Assessment Fund,Health,Telephone,100538
2014,Purchase of Services,General Operating Fund,Office of Beh Health & Int Disab,Information Technology-prof Service,18000
2014,Purchase of Services,General Operating Fund,Office of Beh Health & Int Disab,Mental Health & Retardation Service,11829835
2014,Personal Services,General Operating Fund,Office of Beh Health & Int Disab,Overtime-civilian,596
2014,Personal Services,General Operating Fund,Office of Beh Health & Int Disab,Perm Full Time-civilian,962348
2014,Personal Services,General Operating Fund,Office of Beh Health & Int Disab,Plus/minus Gross Adj,10335
2014,Purchase of Services,General Operating Fund,Office of Beh Health & Int Disab,Professional Consult/spec Services,845647
2014,Personal Services,General Operating Fund,Office of Beh Health & Int Disab,Salary Control,1143
2014,Personal Services,General Operating Fund,Office of Beh Health & Int Disab,Shift,3
2014,Purchase of Services,Healthchoices Behavioral Health Fund,Office of Beh Health & Int Disab,Accounting and Auditing Services,125000
2014,Purchase of Services,Healthchoices Behavioral Health Fund,Office of Beh Health & Int Disab,Information Technology-prof Service,194942
2014,Purchase of Services,Healthchoices Behavioral Health Fund,Office of Beh Health & Int Disab,Mental Health & Retardation Service,885466423
2014,Payments to Other Funds,Healthchoices Behavioral Health Fund,Office of Beh Health & Int Disab,Payments To General Fund,300000
2014,Payments to Other Funds,Healthchoices Behavioral Health Fund,Office of Beh Health & Int Disab,Payments To Other Funds,1386576
2014,Purchase of Services,Healthchoices Behavioral Health Fund,Office of Beh Health & Int Disab,Professional Consult/spec Services,10151832
2014,Purchase of Services,Healthchoices Behavioral Health Fund,Office of Beh Health & Int Disab,Telephone,35532
2014,Materials and Supplies,Grants Revenue Fund,Office of Beh Health & Int Disab,Books and Other Publications,7942
2014,Purchase of Services,Grants Revenue Fund,Office of Beh Health & Int Disab,Commercial off-shelf Comp Software,15303
2014,Equipment,Grants Revenue Fund,Office of Beh Health & Int Disab,Computer Equipment & Peripherals,80603
2014,Personal Services,Grants Revenue Fund,Office of Beh Health & Int Disab,Dual/relief-full time-civilian,197088
2014,Purchase of Services,Grants Revenue Fund,Office of Beh Health & Int Disab,Dues,22719
2014,Materials and Supplies,Grants Revenue Fund,Office of Beh Health & Int Disab,Electrical and Communication,516
2014,Equipment,Grants Revenue Fund,Office of Beh Health & Int Disab,Electrical Lighting Communication,3825
2014,Purchase of Services,Grants Revenue Fund,Office of Beh Health & Int Disab,Employee Relocation Expenses,5000
2014,Personal Services,Grants Revenue Fund,Office of Beh Health & Int Disab,FICA Taxes,533584
2014,Equipment,Grants Revenue Fund,Office of Beh Health & Int Disab,Fire Fighting and Emergency,5744
2014,Equipment,Grants Revenue Fund,Office of Beh Health & Int Disab,Furniture and Furnishings,22940
2014,Materials and Supplies,Grants Revenue Fund,Office of Beh Health & Int Disab,Gasoline,1063
2014,Materials and Supplies,Grants Revenue Fund,Office of Beh Health & Int Disab,General Hardware and Minor Tools,1123
2014,Purchase of Services,Grants Revenue Fund,Office of Beh Health & Int Disab,Ground and Building Rental,1430635
2014,Personal Services,Grants Revenue Fund,Office of Beh Health & Int Disab,Group Legal Insurance,20976
2014,Personal Services,Grants Revenue Fund,Office of Beh Health & Int Disab,Group Life Insurance,24824
2014,Personal Services,Grants Revenue Fund,Office of Beh Health & Int Disab,"Holiday ""G""(2/3 Shifts)",2935
2014,Purchase of Services,Grants Revenue Fund,Office of Beh Health & Int Disab,Information Technology-prof Service,877770
2014,Materials and Supplies,Grants Revenue Fund,Office of Beh Health & Int Disab,"Janitorial, Laundry and Household",1128
2014,Purchase of Services,Grants Revenue Fund,Office of Beh Health & Int Disab,Legal Services,143500
2014,Purchase of Services,Grants Revenue Fund,Office of Beh Health & Int Disab,Licenses Permits Inspection Charges,40
2014,Purchase of Services,Grants Revenue Fund,Office of Beh Health & Int Disab,Maint/support-computr Hardware/soft,1050
2014,Personal Services,Grants Revenue Fund,Office of Beh Health & Int Disab,Medical Health & Welfare Credit,2084854
2014,Personal Services,Grants Revenue Fund,Office of Beh Health & Int Disab,Medicare Tax,132355
2014,Purchase of Services,Grants Revenue Fund,Office of Beh Health & Int Disab,Mental Health & Retardation Service,159907221
2014,Equipment,Grants Revenue Fund,Office of Beh Health & Int Disab,Office Equipment,37050
2014,Materials and Supplies,Grants Revenue Fund,Office of Beh Health & Int Disab,Office Materials and Supplies,75060
2014,Personal Services,Grants Revenue Fund,Office of Beh Health & Int Disab,Overtime-civilian,186294
2014,Payments to Other Funds,Grants Revenue Fund,Office of Beh Health & Int Disab,Payments To General Fund,74130
2014,Personal Services,Grants Revenue Fund,Office of Beh Health & Int Disab,Pension-actual,3908575
2014,Personal Services,Grants Revenue Fund,Office of Beh Health & Int Disab,Pension-obligation Bond Payments,680361
2014,Personal Services,Grants Revenue Fund,Office of Beh Health & Int Disab,Perm Full Time-civilian,13968266
2014,Personal Services,Grants Revenue Fund,Office of Beh Health & Int Disab,Perm Part Time,36168
2014,Personal Services,Grants Revenue Fund,Office of Beh Health & Int Disab,Plus/minus Gross Adj,369445
2014,Purchase of Services,Grants Revenue Fund,Office of Beh Health & Int Disab,Postage,22500
2014,Materials and Supplies,Grants Revenue Fund,Office of Beh Health & Int Disab,"Precision, Photographic and Artists",26272
2014,Materials and Supplies,Grants Revenue Fund,Office of Beh Health & Int Disab,Printing,14456
2014,Purchase of Services,Grants Revenue Fund,Office of Beh Health & Int Disab,Professional Consult/spec Services,44250270
2014,Purchase of Services,Grants Revenue Fund,Office of Beh Health & Int Disab,Rents,25166
2014,Purchase of Services,Grants Revenue Fund,Office of Beh Health & Int Disab,Repair and Maintenance Charges,38569
2014,Personal Services,Grants Revenue Fund,Office of Beh Health & Int Disab,Salary Control,57313
2014,Purchase of Services,Grants Revenue Fund,Office of Beh Health & Int Disab,Seminar and Training Sessions,555
2014,Personal Services,Grants Revenue Fund,Office of Beh Health & Int Disab,Shift,3424
2014,Personal Services,Grants Revenue Fund,Office of Beh Health & Int Disab,Sick Pay(b Time)-civilian,4864
2014,Purchase of Services,Grants Revenue Fund,Office of Beh Health & Int Disab,Telephone,55743
2014,Purchase of Services,Grants Revenue Fund,Office of Beh Health & Int Disab,Transportation,65482
2014,Personal Services,Grants Revenue Fund,Office of Beh Health & Int Disab,Worker's Comp-disability Comp,185464
2014,Purchase of Services,General Operating Fund,Recreation,Advertising/Promotional Activities,80
2014,Materials and Supplies,General Operating Fund,Recreation,Agricultural and Botanical,33311
2014,Purchase of Services,General Operating Fund,Recreation,Architectural & Engineering Srvcs,3390
2014,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Recreation,Auto - Motor Vehicle,25000
2014,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Recreation,Auto-motor Vehicle/non-punitive Dam,4702
2014,Materials and Supplies,General Operating Fund,Recreation,Books and Other Publications,919
2014,Materials and Supplies,General Operating Fund,Recreation,Building and Construction,256518
2014,Materials and Supplies,General Operating Fund,Recreation,Chemicals and Gases,365174
2014,Purchase of Services,General Operating Fund,Recreation,Cleaning and Laundering,45390
2014,Purchase of Services,General Operating Fund,Recreation,Commercial off-shelf Comp Software,31356
2014,Equipment,General Operating Fund,Recreation,Computer Equipment & Peripherals,60374
2014,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Recreation,Contributions-ed & Non-prof Rec Org,2289500
2014,Materials and Supplies,General Operating Fund,Recreation,Cordage and Fibers,162
2014,Materials and Supplies,General Operating Fund,Recreation,Dry Goods/notions/wearing Apparel,123356
2014,Personal Services,General Operating Fund,Recreation,Dual/relief-full time-civilian,48399
2014,Purchase of Services,General Operating Fund,Recreation,Dues,16540
2014,Materials and Supplies,General Operating Fund,Recreation,Electrical and Communication,223523
2014,Equipment,General Operating Fund,Recreation,Equipment Control,19540
2014,Materials and Supplies,General Operating Fund,Recreation,Fire Fighting and Safety,4238
2014,Materials and Supplies,General Operating Fund,Recreation,Food,9570
2014,Materials and Supplies,General Operating Fund,Recreation,Fuel -- Heating and Lighting,228294
2014,Equipment,General Operating Fund,Recreation,Furniture and Furnishings,25291
2014,Materials and Supplies,General Operating Fund,Recreation,Gasoline,26
2014,Equipment,General Operating Fund,Recreation,General Equipment and Machinery,98072
2014,Materials and Supplies,General Operating Fund,Recreation,General Hardware and Minor Tools,123376
2014,Personal Services,General Operating Fund,Recreation,"Holiday ""G""(2/3 Shift) Dual/relief",469
2014,Personal Services,General Operating Fund,Recreation,"Holiday ""G""(2/3 Shifts)",136555
2014,Materials and Supplies,General Operating Fund,Recreation,Hospital and Laboratory,9738
2014,Purchase of Services,General Operating Fund,Recreation,Insurance and official Bonds,13836
2014,Purchase of Services,General Operating Fund,Recreation,Janitorial Services,39900
2014,Materials and Supplies,General Operating Fund,Recreation,"Janitorial, Laundry and Household",268451
2014,Purchase of Services,General Operating Fund,Recreation,Legal Services,48398
2014,Purchase of Services,General Operating Fund,Recreation,Licenses Permits Inspection Charges,2194
2014,Materials and Supplies,General Operating Fund,Recreation,Liquid Propane Gas (LPG),14753
2014,Materials and Supplies,General Operating Fund,Recreation,Lubricants,703
2014,Purchase of Services,General Operating Fund,Recreation,Maint/support-computr Hardware/soft,151
2014,Materials and Supplies,General Operating Fund,Recreation,Materials & Supplies Control,46619
2014,Purchase of Services,General Operating Fund,Recreation,Meals-non-travel & officl Entertain,4674
2014,Materials and Supplies,General Operating Fund,Recreation,Motor Vehicle Parts and Accessories,6349
2014,Equipment,General Operating Fund,Recreation,Office Equipment,468
2014,Materials and Supplies,General Operating Fund,Recreation,Office Materials and Supplies,37140
2014,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Recreation,Other Non-automotive,676110
2014,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Recreation,Other Non-automotive/non-punitive,1500
2014,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Recreation,Other Non-automotive/non-punitive,36990
2014,Personal Services,General Operating Fund,Recreation,Overtime-civilian,3444823
2014,Personal Services,General Operating Fund,Recreation,Overtime/shift-dual/relief,543
2014,Personal Services,General Operating Fund,Recreation,Overtime/shift-uniform,13920
2014,Personal Services,General Operating Fund,Recreation,Perm Full Time-civilian,27094790
2014,Personal Services,General Operating Fund,Recreation,Perm Part Time,1925243
2014,Materials and Supplies,General Operating Fund,Recreation,Plumbing/air Conditioning/space Htg,343933
2014,Equipment,General Operating Fund,Recreation,Plumbing/air Conditioning/space Htg,53015
2014,Personal Services,General Operating Fund,Recreation,Plus/minus Gross Adj,497810
2014,Materials and Supplies,General Operating Fund,Recreation,"Precision, Photographic and Artists",33998
2014,Materials and Supplies,General Operating Fund,Recreation,Printing,1470
2014,Purchase of Services,General Operating Fund,Recreation,Professional Consult/spec Services,5189864
2014,Purchase of Services,General Operating Fund,Recreation,Purchase Services-imprest Advances,2017
2014,Materials and Supplies,General Operating Fund,Recreation,Recreational and Educational,158066
2014,Equipment,General Operating Fund,Recreation,Recreational and Educational,42066
2014,Purchase of Services,General Operating Fund,Recreation,Rents,290382
2014,Purchase of Services,General Operating Fund,Recreation,Repair and Maintenance Charges,671578
2014,Purchase of Services,General Operating Fund,Recreation,Repaving Repairing & Resurf Streets,26
2014,Personal Services,General Operating Fund,Recreation,Salary Control,575690
2014,Purchase of Services,General Operating Fund,Recreation,Seminar and Training Sessions,5799
2014,Personal Services,General Operating Fund,Recreation,Shift,98714
2014,Personal Services,General Operating Fund,Recreation,Sick Pay(b Time)-civilian,81870
2014,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Recreation,Sidewalk Falls,1049900
2014,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Recreation,Sidewalk Falls-non-punitive Damages,5000
2014,Materials and Supplies,General Operating Fund,Recreation,Small Power Tools and Hand Tools,44835
2014,Purchase of Services,General Operating Fund,Recreation,Telephone,2606
2014,Personal Services,General Operating Fund,Recreation,Temporary/seasonal,7088818
2014,Purchase of Services,General Operating Fund,Recreation,Transportation,6261
2014,Equipment,General Operating Fund,Recreation,Vehicles -- Motor and Motorless,262594
2014,Purchase of Services,Grants Revenue Fund,Recreation,Cleaning and Laundering,25175
2014,Materials and Supplies,Grants Revenue Fund,Recreation,Dry Goods/notions/wearing Apparel,86
2014,Personal Services,Grants Revenue Fund,Recreation,FICA Taxes,79558
2014,Materials and Supplies,Grants Revenue Fund,Recreation,Food,5266471
2014,Personal Services,Grants Revenue Fund,Recreation,Group Legal Insurance,1740
2014,Personal Services,Grants Revenue Fund,Recreation,Group Life Insurance,582
2014,Personal Services,Grants Revenue Fund,Recreation,"Holiday ""G""(2/3 Shifts)",265
2014,Materials and Supplies,Grants Revenue Fund,Recreation,"Janitorial, Laundry and Household",79249
2014,Materials and Supplies,Grants Revenue Fund,Recreation,Materials & Supplies Control,19389
2014,Purchase of Services,Grants Revenue Fund,Recreation,Meals-non-travel & officl Entertain,13625
2014,Personal Services,Grants Revenue Fund,Recreation,Medical Health & Welfare Credit,81714
2014,Personal Services,Grants Revenue Fund,Recreation,Medicare Tax,20985
2014,Materials and Supplies,Grants Revenue Fund,Recreation,Office Materials and Supplies,23412
2014,Personal Services,Grants Revenue Fund,Recreation,Overtime-civilian,29353
2014,Personal Services,Grants Revenue Fund,Recreation,Pension-actual,73034
2014,Personal Services,Grants Revenue Fund,Recreation,Pension-obligation Bond Payments,42221
2014,Personal Services,Grants Revenue Fund,Recreation,Perm Full Time-civilian,745378
2014,Personal Services,Grants Revenue Fund,Recreation,Perm Part Time,2070
2014,Personal Services,Grants Revenue Fund,Recreation,Plus/minus Gross Adj,37096
2014,Materials and Supplies,Grants Revenue Fund,Recreation,"Precision, Photographic and Artists",2144
2014,Materials and Supplies,Grants Revenue Fund,Recreation,Printing,9148
2014,Purchase of Services,Grants Revenue Fund,Recreation,Professional Consult/spec Services,462170
2014,Materials and Supplies,Grants Revenue Fund,Recreation,Recreational and Educational,9894
2014,Purchase of Services,Grants Revenue Fund,Recreation,Rents,36800
2014,Purchase of Services,Grants Revenue Fund,Recreation,Repair and Maintenance Charges,7210
2014,Personal Services,Grants Revenue Fund,Recreation,Salary Control,32425
2014,Purchase of Services,Grants Revenue Fund,Recreation,Seminar and Training Sessions,2460
2014,Personal Services,Grants Revenue Fund,Recreation,Shift,659
2014,Personal Services,Grants Revenue Fund,Recreation,Temporary/seasonal,1527511
2014,Purchase of Services,Grants Revenue Fund,Recreation,Transportation,28928
2014,Personal Services,Grants Revenue Fund,Recreation,Worker's Comp-disability Comp,54792
2014,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Atwater Kent Museum,Contributions-gov & Non-prof Not Ed,50000
2014,Personal Services,General Operating Fund,Atwater Kent Museum,"Holiday ""G""(2/3 Shifts)",105
2014,Personal Services,General Operating Fund,Atwater Kent Museum,Overtime-civilian,2333
2014,Personal Services,General Operating Fund,Atwater Kent Museum,Perm Full Time-civilian,198014
2014,Personal Services,General Operating Fund,Atwater Kent Museum,Plus/minus Gross Adj,2000
2014,Personal Services,General Operating Fund,Atwater Kent Museum,Salary Control,24835
2014,Personal Services,General Operating Fund,Atwater Kent Museum,Shift,21
2014,Materials and Supplies,General Operating Fund,Public Property,#2 Diesel Fuel,2465
2014,Purchase of Services,General Operating Fund,Public Property,Advertising/Promotional Activities,5100
2014,Equipment,General Operating Fund,Public Property,Agricultural and Botanical,1650
2014,Purchase of Services,General Operating Fund,Public Property,Architectural & Engineering Srvcs,36910
2014,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Public Property,Auto - Motor Vehicle,32500
2014,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Public Property,Auto-motor Vehicle/non-punitive Dam,543
2014,Materials and Supplies,General Operating Fund,Public Property,"Bakeshop, Dining Room and Kitchen",916
2014,Equipment,General Operating Fund,Public Property,"Bakeshop, Dining Room and Kitchen",1500
2014,Materials and Supplies,General Operating Fund,Public Property,Books and Other Publications,8327
2014,Materials and Supplies,General Operating Fund,Public Property,Building and Construction,273734
2014,Materials and Supplies,General Operating Fund,Public Property,Chemicals and Gases,63071
2014,Purchase of Services,General Operating Fund,Public Property,Cleaning and Laundering,60808
2014,Equipment,General Operating Fund,Public Property,Computer Equipment & Peripherals,20523
2014,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Public Property,Contract Claims-city Breach Contrct,10000
2014,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Public Property,Contributions-gov & Non-prof Not Ed,13850000
2014,Purchase of Services,General Operating Fund,Public Property,Demolition of Buildings,8990
2014,Materials and Supplies,General Operating Fund,Public Property,Dry Goods/notions/wearing Apparel,34704
